Time,TESTZONE:WINTER DESIGN:Des Heat Load [W],TESTZONE:SUMMER DESIGN:Des Sens Cool Load [W],TESTZONE:WINTER DESIGN:Des Heat Mass Flow [kg/s],TESTZONE:SUMMER DESIGN:Des Cool Mass Flow [kg/s] 
11:30:00,1.920426E+03,3.621781E+03,6.278352E-02,3.552436E-01 
11:40:00,1.891114E+03,3.644475E+03,6.182526E-02,3.574695E-01 
11:50:00,1.863106E+03,3.667817E+03,6.090964E-02,3.597590E-01 
12:00:00,1.836349E+03,3.691836E+03,6.003492E-02,3.621149E-01 
12:10:00,1.810802E+03,3.716516E+03,5.919975E-02,3.645356E-01 
12:20:00,1.786382E+03,3.741650E+03,5.840143E-02,3.670008E-01 
12:30:00,1.763032E+03,3.766969E+03,5.763807E-02,3.694841E-01 
12:40:00,1.740692E+03,3.792186E+03,5.690773E-02,3.719575E-01 
12:50:00,1.719329E+03,3.817127E+03,5.620934E-02,3.744038E-01 
13:00:00,1.698884E+03,3.841815E+03,5.554094E-02,3.768253E-01 
13:10:00,1.679292E+03,3.866479E+03,5.490045E-02,3.792443E-01 
13:20:00,1.660554E+03,3.891579E+03,5.428788E-02,3.817062E-01 
13:30:00,1.642630E+03,3.917635E+03,5.370190E-02,3.842618E-01 
13:40:00,1.625476E+03,3.945158E+03,5.314111E-02,3.869614E-01 
13:50:00,1.609056E+03,3.974509E+03,5.260430E-02,3.898403E-01 
14:00:00,1.593335E+03,4.005821E+03,5.209036E-02,3.929114E-01 
14:10:00,1.578283E+03,4.038956E+03,5.159826E-02,3.961614E-01 
14:20:00,1.563851E+03,4.073638E+03,5.112647E-02,3.995632E-01 
14:30:00,1.550018E+03,4.109493E+03,5.067422E-02,4.030800E-01 
14:40:00,1.536762E+03,4.146070E+03,5.024087E-02,4.066676E-01 
14:50:00,1.524060E+03,4.182928E+03,4.982562E-02,4.102828E-01 
15:00:00,1.511888E+03,4.219621E+03,4.942770E-02,4.138817E-01 
15:10:00,1.500223E+03,4.255741E+03,4.904636E-02,4.174245E-01 
15:20:00,1.489044E+03,4.291016E+03,4.868087E-02,4.208842E-01 
15:30:00,1.478328E+03,4.325045E+03,4.833054E-02,4.242219E-01 
15:40:00,1.468055E+03,4.357512E+03,4.799471E-02,4.274063E-01 
15:50:00,1.458207E+03,4.388108E+03,4.767275E-02,4.304071E-01 
16:00:00,1.448764E+03,4.416549E+03,4.736406E-02,4.331967E-01 
16:10:00,1.439710E+03,4.442606E+03,4.706807E-02,4.357524E-01 
16:20:00,1.431028E+03,4.465878E+03,4.678422E-02,4.380348E-01 
16:30:00,1.422701E+03,4.485952E+03,4.651199E-02,4.400036E-01 
16:40:00,1.414714E+03,4.502616E+03,4.625089E-02,4.416380E-01 
16:50:00,1.407053E+03,4.515572E+03,4.600044E-02,4.429086E-01 
17:00:00,1.399704E+03,4.524433E+03,4.576019E-02,4.437777E-01 
17:10:00,1.392654E+03,4.528782E+03,4.552971E-02,4.442041E-01 
17:20:00,1.385890E+03,4.528133E+03,4.530857E-02,4.441403E-01 
17:30:00,1.379399E+03,4.522084E+03,4.509639E-02,4.435468E-01 
17:40:00,1.373171E+03,4.509864E+03,4.489278E-02,4.423482E-01 
17:50:00,1.367194E+03,4.490664E+03,4.469739E-02,4.404648E-01 
18:00:00,1.361459E+03,4.463500E+03,4.450987E-02,4.378003E-01 
18:10:00,1.132145E+03,3.709131E+03,3.701299E-02,3.638083E-01 
18:20:00,9.038463E+02,2.957179E+03,2.954926E-02,2.900534E-01 
18:30:00,6.765206E+02,2.208833E+03,2.211735E-02,2.166522E-01 
18:40:00,4.501291E+02,1.465451E+03,1.471598E-02,1.437380E-01 
18:50:00,2.246342E+02,7.285608E+02,7.343921E-03,7.146049E-02 
19:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
19:10:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00 
19:20:00,0.000000E+00,5.582543E+00,0.000000E+00,2.112836E-04 
19:30:00,0.000000E+00,2.185651E+01,0.000000E+00,8.251139E-04 
19:40:00,0.000000E+00,3.054384E+01,0.000000E+00,1.152784E-03 
19:50:00,0.000000E+00,3.989566E+01,0.000000E+00,1.505517E-03 
